Latitude, Longitude, Eat.500
22.28178,114.158119,60
22.281033,114.155556,60
22.281347,114.156097,60
22.282255,114.183403,60
22.282068,114.183716,60
22.291046,114.200401,60
22.288038,114.193398,60
22.289305,114.194595,60
22.290882,114.19957,60
22.290335,114.196266,60
22.307684,113.937431,1
22.328264,114.026489,0
22.293648,113.954285,4
22.288511,113.941704,60
22.32926,114.19281,60
22.30871,114.183472,60
22.30822,114.18261,60
22.305309,114.189018,60
22.304314,114.189781,60
22.322269,114.187775,60
22.322517,114.188492,60
22.331003,114.209251,60
22.329807,114.210571,60
22.313473,114.225082,60
22.359156,114.120079,18
22.322437,114.168488,60
22.479305,114.153671,0
22.483934,114.152939,2
22.485229,114.151634,2
22.486422,114.148926,4
22.502703,114.12674,60
22.501835,114.127747,60
22.503145,114.126709,60
22.502909,114.129196,60
22.502756,114.129005,60
22.28321157,114.1274915,60
22.29623637,114.169187,60
22.37122313,114.1192341,60
22.28729469,114.2194235,60
22.2869666,114.1404524,60
22.27955909,114.1753619,60
22.28289357,114.2214009,60
22.26471868,114.2412192,60
22.31604882,114.1638282,60
22.3153622,114.1703765,60
22.31582284,114.17333,60
22.30532061,114.1716355,60
22.319197,114.264381,60
22.30481,114.253609,40
22.295401,114.273308,4
22.318102,114.258919,41
22.382202,114.270966,60
22.382029,114.273422,60
22.250355,114.170563,18
22.250242,114.169693,53
22.248503,114.161591,26
22.24844,114.162865,56
22.248964,114.154541,60
22.248861,114.153656,60
22.335512,114.159126,60
22.32981852,114.1634808,60
22.331707,114.161018,60
22.33087,114.163147,60
22.336992,114.147003,60
22.337011,114.147636,60
22.387529,114.19191,60
22.375786,114.177338,60
22.373907,114.178558,60
22.373739,114.178734,60
22.373489,114.178429,60
22.399603,113.976677,60
22.407349,113.97831,40
22.392607,113.978409,60
22.42411,114.21151,33
22.432402,114.201111,3
22.466461,114.151062,3
22.467472,114.151756,2
22.448586,114.167015,60
22.444649,114.166656,60
22.448412,114.167404,60
22.44903,114.166039,60
22.362509,114.117943,54
22.363968,114.119774,52
22.370623,114.114868,60
22.370039,114.115982,60
22.369081,114.116364,60
22.28006,114.184357,60
22.280136,114.185776,60
22.280802,114.185509,60
22.335403,114.203552,60
22.336203,114.207207,60
22.337051,114.206566,60
22.341753,114.195297,60
22.341745,114.193146,60
22.465837,114.053802,1
22.459059,114.052162,3
22.435471,114.020889,5
22.434603,114.025269,6
22.444628,114.02935,60
22.444323,114.029335,60
